,R2,mse,Pr,Sp,D2,Ci,mape,n_rmse,Kn,analysis_sp,analysis_type
0,0.07698812509064779,0.02473827361634776,0.27907185301250853,0.273420309681304,0.032919666437601025,0.5923489503697507,46.29281997716158,0.4688848552670243,0.18469981010801295,TC,TE_codon
1,0.07815351487028344,0.024336039429348387,0.2817917157907934,0.27905236344522566,0.02665037110532331,0.5949273480848936,48.0708330615872,0.471486680667986,0.18985615676186565,TC,TE_codon
2,0.09589725690488315,0.02502747895584701,0.3108725921206535,0.31719696050212337,0.033307601462286396,0.60688991143294,46.26452756774892,0.4736781094088941,0.21378141612300233,TC,TE_codon
3,0.07613763425596698,0.025143640396201948,0.27663300981946737,0.2705307062353126,0.02208496523595782,0.5920669936565376,47.301037455669906,0.4797163336668131,0.1841417789194827,TC,TE_codon
4,0.08223196437407287,0.024103292445253895,0.2881429456792873,0.28231764003185067,0.02844411170888228,0.5960842474128261,47.30758671219414,0.46883239848517644,0.1921713592437155,TC,TE_codon
5,0.09901239892901104,0.023542720594220922,0.31620367589900705,0.31008189494521765,0.03392642747929531,0.605231562953774,45.36297339579628,0.4617659212462934,0.21046611122056885,TC,TE_codon
6,0.09088401599072127,0.02308453494615923,0.30536336521097157,0.315718711555988,0.028398340426876945,0.6069777125358031,45.998908642276795,0.4634547035524276,0.2139595401549437,TC,TE_codon
7,0.08554583465749555,0.025459013435685726,0.2993170298684612,0.29805901809629676,0.0460398694591474,0.600695265845426,45.56877803071944,0.46870886603434087,0.20139237153570946,TC,TE_codon
8,0.08881835457020626,0.024580852106458842,0.2991691447492264,0.31448116351390304,0.034801974781123235,0.6061937350074215,45.9978851942816,0.466738684483879,0.21238905289580637,TC,TE_codon
9,0.0973569499271979,0.024845157613329838,0.31454075754712013,0.3037565065220425,0.03404453233047622,0.6021334478326784,46.95917954531261,0.47081203714234854,0.2042698421993223,TC,TE_codon
