,R2,mse,Pr,Sp,D2,Ci,mape,n_rmse,Kn,analysis_sp,analysis_type
0,0.3181530214443127,0.11990740590441318,0.6082287199000207,0.4796805390765339,0.14026525141258916,0.6682054481435744,14.492558440017303,0.1820466638869685,0.33639019854877505,LD,Abundance_All
1,0.3145025202918005,0.12636169578652484,0.6054715561728254,0.4744730694320917,0.1408253809689245,0.6658303363811021,14.935588814739123,0.18695258854015828,0.33164016575921157,LD,Abundance_All
2,0.31810579969998165,0.11555243624757562,0.6087605351698625,0.48217038477040614,0.1426123148486773,0.6677491364120046,14.267741886583995,0.178568514672423,0.3354750637843202,LD,Abundance_All
3,0.3127996609168623,0.12154063971272593,0.6080691147671591,0.49948027357356584,0.14098872993555134,0.6753240153722481,14.680723736489282,0.18372091491623685,0.3506271010736551,LD,Abundance_All
4,0.3088674047456962,0.12145035144659753,0.5829441149252852,0.4693403056591841,0.1422124645710846,0.6635427961284168,14.778969229520323,0.18274444789464744,0.3270664694825686,LD,Abundance_All
5,0.3300655414282241,0.12718761229868342,0.6276815167498725,0.5023578660283349,0.1555330485344979,0.6760533630474977,14.559752737613735,0.18642500310351418,0.352086463825474,LD,Abundance_All
6,0.3186293618533478,0.11546987207091147,0.6089759788140032,0.49037892787669246,0.14674515351203654,0.6714639338611429,14.261905287517958,0.17957937411595543,0.34290299001808827,LD,Abundance_All
7,0.31615730062116865,0.11553969289366453,0.5874849655614443,0.4643167213752483,0.14753497955437,0.6616466226132188,14.241429080934523,0.1787308779253885,0.3232725628599191,LD,Abundance_All
8,0.3313167961886502,0.12086953314247562,0.633822500774416,0.513324844988128,0.15838554007959693,0.6802507721836343,14.320803428902664,0.1816974426432226,0.3604824542694825,LD,Abundance_All
9,0.2895626235443137,0.11734863051848483,0.575792187383257,0.469550138820795,0.13156560866792777,0.6636284879004485,14.554634584912678,0.18106878649255634,0.32723664090913407,LD,Abundance_All
10,0.32113219632054957,0.11954552042477817,0.6031755126898396,0.48194172457938544,0.1475313905080916,0.6683630454734422,14.29188707369115,0.1812147915266332,0.3367008385527361,LD,Abundance_All
11,0.3255140861589012,0.1295360189921383,0.6276981623560113,0.5011837346260163,0.1494375136794912,0.6757187980043066,14.597260301026777,0.18787950924795774,0.35141489798094633,LD,Abundance_All
12,0.3034030454142399,0.12494165870550837,0.5855297847971676,0.48432070413263034,0.13837419200390144,0.6690978797446461,14.627879768880039,0.1856574807685325,0.338176401260639,LD,Abundance_All
13,0.3201053794691857,0.12513536727653085,0.6179450302728322,0.5097640854786438,0.14754900733475962,0.678017385469333,14.717863639934354,0.1854843046846243,0.35601188498109443,LD,Abundance_All
14,0.3066225802458892,0.13651724684499045,0.6211395350767673,0.49309601767440286,0.14382411695358155,0.6727248348774162,15.37407726921001,0.19438743575286258,0.34542894462297186,LD,Abundance_All
15,0.30697339240412114,0.12102310499144808,0.5941607753359974,0.4898199500403009,0.1486212536672391,0.6716513585096496,14.017868089375646,0.18119301436551236,0.34328233086594967,LD,Abundance_All
16,0.3233450455052197,0.11548152832147196,0.6138715358053923,0.49040928989917704,0.1405952344207021,0.6707457220123884,14.517407086694703,0.17974669674076213,0.34146792492351385,LD,Abundance_All
17,0.28886602896177926,0.128001325201453,0.5786782399854284,0.5099001047750223,0.14238768938961355,0.6776134773180059,14.839826798313851,0.18842166341704272,0.35520455555260655,LD,Abundance_All
18,0.3062373375902725,0.12109595810278333,0.5914420486937852,0.49473130493264095,0.14048708234933538,0.6742429159018579,14.25198161368624,0.1829355679510273,0.3484621510087378,LD,Abundance_All
19,0.32716470394107966,0.12061194737623546,0.6095779499479406,0.5298516739817652,0.15995789861276077,0.6855270633641738,14.530737263867543,0.18216505085439957,0.3710341370846316,LD,Abundance_All
20,0.32571174057582297,0.12765704008782786,0.6160625702412912,0.48547153413408667,0.13854339498529633,0.6689816175390131,14.966499100631017,0.18753881112274703,0.3379392347992832,LD,Abundance_All
21,0.3186262460518561,0.11915753215970788,0.6108825008561205,0.49952314413323734,0.1508526106598398,0.6755167226568168,14.3452772579831,0.18125562200584527,0.3510114181080551,LD,Abundance_All
22,0.31213020421258075,0.12290594559771281,0.6050592271247858,0.4963362623090097,0.15175355012156777,0.6735517177831098,14.346564133603385,0.18323761861494717,0.3470788924520381,LD,Abundance_All
23,0.33041579730804427,0.12027756877098227,0.6192832382047826,0.5014061789030583,0.15141586836674825,0.6752643972037631,14.59774576138737,0.18226533798620945,0.3505084083450682,LD,Abundance_All
24,0.3064777891156072,0.12634343483410246,0.6015301898957712,0.5038203500830191,0.15000894246515728,0.6765062785842421,14.28997499798215,0.18595335977869643,0.3529911621864308,LD,Abundance_All
25,0.32031281337867246,0.11878714586657044,0.6224649415251842,0.5196840705313914,0.14696325636273655,0.6824168739626273,14.791462462320625,0.18210613066915812,0.3648119715295922,LD,Abundance_All
26,0.3213233531861073,0.1151140516918557,0.6014805188485868,0.4873549206943603,0.1362639680936384,0.6700936250247961,14.158263799103802,0.17826128323267715,0.3401660075714067,LD,Abundance_All
27,0.2941836221401689,0.11340943183046112,0.5718711625744578,0.46494785647076037,0.1251905065729244,0.6612020787312098,14.310965147725174,0.17774508924814034,0.3223820516254796,LD,Abundance_All
28,0.3087993804650574,0.12589742981535046,0.6028243452276636,0.49313889886440937,0.1418393280029976,0.6733648559045433,14.256808660271508,0.1846395359024191,0.3467083792038094,LD,Abundance_All
